rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,train/approx_kl,train/loss,train/entropy_loss,train/explained_variance,train/clip_range,train/n_updates,train/clip_fraction,train/std,train/learning_rate,train/value_loss,train/policy_gradient_loss
-4663.967512785714,14,8640.0,749,120960,161,0.00534276,-0.3133285343647003,-6.2699168865769,0.9977352023124695,0.2,130,0.04043981481481482,1.1687990427017212,5e-05,0.002724215745606839,-0.005092188262346166
-4597.5068385333325,15,8640.0,792,129600,163,0.004657626,-0.32398438453674316,-6.320886888857241,0.9966467022895813,0.2,140,0.021076388888888888,1.1818650960922241,5e-05,0.003126818645072894,-0.0025573526566020316
-4541.6022566875,16,8640.0,835,138240,165,0.0048615667,-0.32388851046562195,-6.361423836107607,0.9973079562187195,0.2,150,0.031956018518518516,1.1935904026031494,5e-05,0.002951112112539165,-0.005059748681400109
-4494.9065058823535,17,8640.0,885,146880,165,0.004615833,-0.3065493702888489,-6.400498095618354,0.9959713816642761,0.2,160,0.026261574074074073,1.2058396339416504,5e-05,0.0030661574264350174,-0.0036324007115844225
-4421.501601333333,18,8640.0,927,155520,167,0.0057047135,-0.32305067777633667,-6.452122140460544,0.9965361952781677,0.2,170,0.031469907407407405,1.2242753505706787,5e-05,0.0027734630507054844,-0.004053261369742729
-4332.6969713157905,19,8640.0,969,164160,169,0.005176844,-0.3528658151626587,-6.514229788250393,0.9981310367584229,0.2,180,0.03217592592592593,1.2432342767715454,5e-05,0.002530578348690782,-0.004182888314783298
-4243.362945000001,20,8640.0,1009,172800,171,0.005682842,-0.3467442989349365,-6.575718086030748,0.998023271560669,0.2,190,0.031157407407407408,1.2631995677947998,5e-05,0.0021449765060269446,-0.003660094578302017
-4163.186490857143,21,8640.0,1052,181440,172,0.0058364877,-0.3321223855018616,-6.634998342372753,0.9974197745323181,0.2,200,0.04116898148148148,1.2809181213378906,5e-05,0.0022485850760885686,-0.005296237267277859
-4092.026489181819,22,8640.0,1098,190080,173,0.0068240548,-0.3485119938850403,-6.691419269420482,0.9975420832633972,0.2,210,0.049166666666666664,1.2998532056808472,5e-05,0.0025472565335911456,-0.00583693646705123
-4019.267846434783,23,8640.0,1144,198720,173,0.005106918,-0.3535519242286682,-6.745732022744638,0.9974892735481262,0.2,220,0.03958333333333333,1.3167332410812378,5e-05,0.002744655359570903,-0.0047988542211586955
-3948.8342490416667,24,8640.0,1188,207360,174,0.005449411,-0.31962791085243225,-6.790018577575683,0.9974678754806519,0.2,230,0.03436342592592593,1.3296784162521362,5e-05,0.0027229804028239516,-0.005498122031179567
-3883.52822496,25,8640.0,1229,216000,175,0.0045891544,-0.34140968322753906,-6.827170939268889,0.9976186752319336,0.2,240,0.02392361111111111,1.342293381690979,5e-05,0.002504833768837637,-0.002704769813421148
-3823.6157565769226,26,8640.0,1276,224640,175,0.0047629587,-0.34135469794273376,-6.875208039107146,0.9975747466087341,0.2,250,0.028101851851851854,1.3610084056854248,5e-05,0.001811320411162106,-0.004020798194946515
-3764.8534554444445,27,8640.0,1321,233280,176,0.0056353267,-0.35527142882347107,-6.930680301807545,0.9979445934295654,0.2,260,0.03695601851851852,1.3804351091384888,5e-05,0.0018474506144411861,-0.0045410599580241575
-3707.5458375357143,28,8640.0,1364,241920,177,0.005265683,-0.3583216965198517,-6.978614516788059,0.9972877502441406,0.2,270,0.03754629629629629,1.3954088687896729,5e-05,0.0018993155714728076,-0.0038810812487025505
-3652.729255862069,29,8640.0,1408,250560,177,0.005202091,-0.3559250831604004,-7.01997723614728,0.9979114532470703,0.2,280,0.031956018518518516,1.4109563827514648,5e-05,0.0017998471226181006,-0.0051111267469133494
