rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,train/loss,train/explained_variance,train/value_loss,train/n_updates,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/std,train/clip_fraction,train/entropy_loss
-5425.08723831579,293760,7560.0,930,34,315,-0.008937302976846695,0.9885475039482117,0.001162928397523636,330,5e-05,0.2,-0.004403177381113723,0.006129241,0.9357566833496094,0.05322916666666667,-5.399467095975522
-5328.19196335,302400,7560.0,959,35,315,-0.007440353278070688,0.987926721572876,0.0010607656566814208,340,5e-05,0.2,-0.0030692192922449776,0.00471385,0.9338683485984802,0.030150462962962962,-5.403068983643143
-5322.724372731707,311040,7560.0,987,36,315,-0.0008989021880552173,0.994359016418457,0.0006237829677087979,350,5e-05,0.2,-0.003777862950745556,0.00525413,0.9321511387825012,0.03916666666666667,-5.395272046548349
-5276.527627880952,319680,7560.0,1014,37,315,-0.0038394033908843994,0.9531466364860535,0.0009731099960993527,360,5e-05,0.2,-0.003948571948955456,0.0054068607,0.931721568107605,0.037488425925925925,-5.391599488434968
-5235.845229906977,328320,7560.0,1042,38,315,0.000994442729279399,0.9940062761306763,0.0007286630423105736,370,5e-05,0.2,-0.0040582505453171,0.005275069,0.9270163774490356,0.030243055555555554,-5.379226656666509
-5196.180690818182,336960,7560.0,1069,39,314,-0.003958163317292929,0.994320273399353,0.0006240948472879137,380,5e-05,0.2,-0.004616144021490106,0.005672613,0.9246535301208496,0.04428240740740741,-5.364992693795098
-5155.304558155555,345600,7560.0,1097,40,314,-0.015143156051635742,0.9944603443145752,0.0007226499268586781,390,5e-05,0.2,-0.004141283302429926,0.0052764285,0.9209896326065063,0.038668981481481485,-5.351750622148867
-5117.678180826087,354240,7560.0,1125,41,314,-0.014057285152375698,0.9951475262641907,0.0006866400481602695,400,5e-05,0.2,-0.005006045070131896,0.0052520786,0.9168076515197754,0.05002314814814815,-5.334677173473217
-5081.0714765,362880,7560.0,1155,42,314,-0.03313690051436424,0.9966811537742615,0.0006451658850009725,410,5e-05,0.2,-0.003567997649208539,0.004490432,0.9140279293060303,0.031261574074074074,-5.319154977798462
-5079.102590224489,371520,7560.0,1182,43,314,0.0016069028060883284,0.9875715374946594,0.0011167925147499234,420,5e-05,0.2,-0.003270627140515932,0.0048877336,0.9147882461547852,0.03613425925925926,-5.314486755794949
-5047.446165599999,380160,7560.0,1211,44,313,-0.03717562183737755,0.9377002716064453,0.0011285692905679482,430,5e-05,0.2,-0.003466483339908774,0.005853933,0.9160510301589966,0.04189814814814815,-5.317859426074558
-5050.37753017647,388800,7560.0,1238,45,313,-0.026658305898308754,0.9959389567375183,0.0009286706564253783,440,5e-05,0.2,-0.0037772327966781125,0.004960014,0.9194649457931519,0.03709490740740741,-5.328411646242495
-5020.006405249999,397440,7560.0,1266,46,313,-0.0002256165025755763,0.9894570708274841,0.0011014473042019678,450,5e-05,0.2,-0.0024364286040266356,0.0041697794,0.9220621585845947,0.032476851851851854,-5.341506185531617
-5019.341741547169,406080,7560.0,1294,47,313,-0.008798089809715748,0.9940024614334106,0.0010063991180720255,460,5e-05,0.2,-0.00333426171189381,0.0043829926,0.922197163105011,0.02652777777777778,-5.347011761841951
-5019.113585240739,414720,7560.0,1321,48,313,-0.004930867813527584,0.97886061668396,0.0011850864193790282,470,5e-05,0.2,-0.0030889048194512724,0.0045574605,0.9207689166069031,0.03107638888888889,-5.345086178249783
-5015.709142339285,423360,7560.0,1351,49,313,0.01781928911805153,0.9828818440437317,0.0012596243209015855,480,5e-05,0.2,-0.004432720170114879,0.0058651543,0.9213660359382629,0.04101851851851852,-5.342999922434489
-4988.14978236842,432000,7560.0,1379,50,313,-0.012435567565262318,0.9880245327949524,0.0009858514095928209,490,5e-05,0.2,-0.003257500375965955,0.0043984936,0.9189789295196533,0.026747685185185187,-5.338623327679104
-4984.506318689654,440640,7560.0,1407,51,313,-0.035513103008270264,0.9955565929412842,0.0007965615191238207,500,5e-05,0.2,-0.004356595539418912,0.00618263,0.9189060926437378,0.046782407407407404,-5.3323411439966275
-4958.369766135593,449280,7560.0,1434,52,313,0.000989228137768805,0.9858983159065247,0.001089582824195666,510,5e-05,0.2,-0.0022066810820251703,0.0038197932,0.9173251390457153,0.019537037037037037,-5.33000221323084
-4933.589793249999,457920,7560.0,1461,53,313,-0.01428926270455122,0.9966946244239807,0.0008070448891225237,520,5e-05,0.2,-0.004582499173228388,0.0054510836,0.9189290404319763,0.0574537037037037,-5.32928764767117
-4911.084173409836,466560,7560.0,1489,54,313,-0.0012975172139704227,0.9968130588531494,0.0007769073115735038,530,5e-05,0.2,-0.004203096161492997,0.0048509142,0.9168438911437988,0.03605324074074074,-5.3282065440990305
-4889.17757683871,475200,7560.0,1517,55,313,-0.00223819212988019,0.9970516562461853,0.0007577959013158558,540,5e-05,0.2,-0.0039398016899617186,0.004849078,0.9160668849945068,0.043854166666666666,-5.321605816593877
