time/total_timesteps,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/clip_range,train/approx_kl,train/loss,train/learning_rate,train/explained_variance,train/value_loss,train/n_updates,train/std,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss
561600,8640.0,45,1356,-1992.013676296875,286,0.2,0.0033565075,-0.378597617149353,5e-05,0.9993100166320801,0.0017725902976882127,630,1.792733907699585,0.011226851851851852,-7.721585690533673,-0.003875669767493727
570240,8640.0,46,1385,-1986.8933736307692,286,0.2,0.0047882213,-0.3913570046424866,5e-05,0.9992804527282715,0.0017589394571000917,640,1.8053479194641113,0.02974537037037037,-7.73366392382869,-0.004670524302076686
578880,8640.0,47,1413,-1982.1477959242425,287,0.2,0.0047537293,-0.39182761311531067,5e-05,0.999224841594696,0.002068736005652075,650,1.821557879447937,0.028009259259259258,-7.7556732460304545,-0.004815456922235037
587520,8640.0,48,1445,-1978.0504177014927,286,0.2,0.004941462,-0.38247719407081604,5e-05,0.9992495775222778,0.0022477881772512637,660,1.8384441137313843,0.025659722222222223,-7.780198304564864,-0.004863133926151527
596160,8640.0,49,1474,-1974.9587451470588,287,0.2,0.0042330762,-0.3825250267982483,5e-05,0.9987648129463196,0.0026947899439579083,670,1.8543376922607422,0.021087962962962965,-7.807708825358638,-0.0039995525834254095
604800,8640.0,50,1503,-1971.5869919275362,287,0.2,0.0055785,-0.3888074457645416,5e-05,0.9980850219726562,0.0038263848707666276,680,1.8722922801971436,0.03754629629629629,-7.840822041829427,-0.004705558834097313
613440,8640.0,51,1532,-1969.2496764714285,287,0.2,0.0045774453,-0.39956536889076233,5e-05,0.9982289671897888,0.0025402775270157254,690,1.894141435623169,0.029652777777777778,-7.880484228134155,-0.004152092072353871
622080,8640.0,52,1560,-1966.7298797605633,287,0.2,0.0052677114,-0.39161235094070435,5e-05,0.9980341792106628,0.003201227766910085,700,1.9245858192443848,0.03332175925925926,-7.929358569604379,-0.004738254001088164
630720,8640.0,53,1589,-1963.6763215555557,288,0.2,0.00521423,-0.41381746530532837,5e-05,0.9978503584861755,0.003038773471618899,710,1.9476115703582764,0.03386574074074074,-7.9789861124533195,-0.0039085388899332395
639360,8640.0,54,1618,-1960.408354452055,288,0.2,0.0052019954,-0.42485949397087097,5e-05,0.9984327554702759,0.0023722974099736247,720,1.9744517803192139,0.03119212962962963,-8.024758510942812,-0.003456479443616613
648000,8640.0,55,1647,-1957.9768432297299,288,0.2,0.0046868813,-0.43005427718162537,5e-05,0.9988206624984741,0.0022610300455966756,730,1.9998713731765747,0.025578703703703704,-8.072272144600197,-0.003550329475870563
656640,8640.0,56,1676,-1955.2444322400002,288,0.2,0.0044029467,-0.40862220525741577,5e-05,0.9986381530761719,0.0025693155042137263,740,2.0223050117492676,0.02101851851851852,-8.115808248166685,-0.003992745847855177
665280,8640.0,57,1705,-1953.0550714605265,288,0.2,0.005075777,-0.42397791147232056,5e-05,0.9984312653541565,0.0024822703170314154,750,2.0461201667785645,0.03446759259259259,-8.15485809608742,-0.004320783183254577
673920,8640.0,58,1733,-1951.8855867402601,289,0.2,0.003964507,-0.42350903153419495,5e-05,0.9971880912780762,0.0031206879796270557,760,2.0718605518341064,0.02017361111111111,-8.198688350253635,-0.004024559656606504
