time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/iterations,train/approx_kl,train/learning_rate,train/loss,train/explained_variance,train/clip_range,train/entropy_loss,train/value_loss,train/std,train/clip_fraction,train/n_updates,train/policy_gradient_loss
345,-22752.27739829,1173,7560.0,2159883,94,1.1095832e-05,1e-05,0.3210262358188629,0.9914574027061462,0.2,-5.6553215205669405,0.8268195047974587,0.9949049949645996,0.0,4980,-0.0002268299475632396
345,-22743.7471731,1187,7560.0,2164203,95,0.0003559245,1e-05,0.0054963259026408195,0.9890793561935425,0.2,-5.655667424201965,0.02714197929017246,0.9951254725456238,0.0,4990,-0.0013641031381505131
345,-22743.7471731,1199,7560.0,2168523,96,3.5902223e-05,1e-05,0.007741375360637903,0.9824727177619934,0.2,-5.6563847959041595,0.029290680796839295,0.9951967000961304,0.0,5000,-0.00040563499844361586
345,-22732.58966095,1212,7560.0,2172843,97,9.069756e-05,1e-05,0.03014451451599598,0.9910644888877869,0.2,-5.656371539831161,0.08105096486397087,0.9951151609420776,0.0,5010,-0.0009054497411413731
345,-22764.72970091,1225,7560.0,2177163,98,0.00027987582,1e-05,0.0005286415107548237,0.9868815541267395,0.2,-5.6560480177402495,0.011790880397893489,0.995078980922699,0.0,5020,-0.0010884437100382005
345,-22764.72970091,1236,7560.0,2181483,99,1.6041473e-05,1e-05,0.24505461752414703,0.9899948835372925,0.2,-5.656003004312515,0.5678766328841448,0.9950849413871765,0.0,5030,-0.00026594603751761703
345,-22779.23342819,1249,7560.0,2185803,100,0.00021418321,1e-05,0.00012043816968798637,0.9718566536903381,0.2,-5.656076979637146,0.011308741680113598,0.9951119422912598,0.0,5040,-0.0006071589062134342
345,-22779.23342819,1261,7560.0,2190123,101,2.1793072e-05,1e-05,0.19418184459209442,0.9904491901397705,0.2,-5.656199288368225,0.546674719452858,0.9951462745666504,0.0,5050,-0.0003025474219185975
345,-22787.446153190005,1274,7560.0,2194443,102,0.00039011304,1e-05,0.00518773403018713,0.984379231929779,0.2,-5.656533193588257,0.0205596698098816,0.9953029155731201,0.0,5060,-0.0012563734872412025
345,-22787.446153190005,1286,7560.0,2198763,103,0.00014666135,1e-05,0.0033360272645950317,0.9645517468452454,0.2,-5.656996774673462,0.022692323627416043,0.9953425526618958,0.0,5070,-0.0007209859859388157
345,-22791.38232489,1299,7560.0,2203083,104,0.00020986737,1e-05,0.0031946063973009586,0.9875599145889282,0.2,-5.657467710971832,0.024188200174830855,0.9955741763114929,0.0,5080,-0.0006500126451588262
345,-22866.551052420004,1312,7560.0,2207403,105,0.0003186412,1e-05,0.0008338070474565029,0.9848198890686035,0.2,-5.65800489783287,0.015361921803560108,0.9955397844314575,0.0,5090,-0.0014329934686368785
345,-22866.551052420004,1324,7560.0,2211723,106,2.3793567e-05,1e-05,0.2530570924282074,0.9942681193351746,0.2,-5.657787704467774,0.6653623938560486,0.995513916015625,0.0,5100,-0.00029712609495233797
345,-22971.712515170002,1337,7560.0,2216043,107,8.758315e-05,1e-05,0.008469042368233204,0.9911199808120728,0.2,-5.657712203264237,0.04035629474092275,0.9954975843429565,0.0,5110,-0.0004263266258505372
345,-22971.712515170002,1349,7560.0,2220363,108,1.5175398e-05,1e-05,0.138821080327034,0.996113121509552,0.2,-5.657671636343002,0.37489692978560923,0.9955096244812012,0.0,5120,-0.00019935500366865532
345,-23036.92780855,1363,7560.0,2224683,109,5.6343855e-05,1e-05,0.05880884826183319,0.996999979019165,0.2,-5.657756781578064,0.1774669880978763,0.9955198764801025,0.0,5130,-0.0005874701184353847
345,-23036.92780855,1374,7560.0,2229003,110,1.3150109e-05,1e-05,0.1053050309419632,0.9925882816314697,0.2,-5.657862210273743,0.256330999173224,0.9955859184265137,0.0,5140,-0.0001773025140826945
345,-23118.96979502,1387,7560.0,2233323,111,2.2872482e-05,1e-05,0.13283833861351013,0.995436429977417,0.2,-5.658117771148682,0.33649862483143805,0.9956223964691162,0.0,5150,-0.00028220510521130836
345,-23207.931827410004,1400,7560.0,2237643,112,4.6497626e-05,1e-05,0.006350786425173283,0.9578619003295898,0.2,-5.658070451021194,0.04636328925844282,0.9955315589904785,0.0,5160,-0.00027775405123509067
345,-23207.931827410004,1411,7560.0,2241963,113,3.8614002e-05,1e-05,0.07733414322137833,0.9962908029556274,0.2,-5.6576704442501065,0.24978256970643997,0.995452344417572,0.0,5170,-0.0002636076606460924
345,-23349.600891119997,1425,7560.0,2246283,114,0.00013114157,1e-05,0.005445319227874279,0.985213577747345,0.2,-5.657192784547806,0.03391312507446855,0.9952618479728699,0.0,5180,-0.0005735081514841144
345,-23349.600891119997,1437,7560.0,2250603,115,1.0835172e-05,1e-05,0.06348926573991776,0.9967162013053894,0.2,-5.656603908538818,0.30155960842967033,0.9952092170715332,0.0,5190,-8.642719674146759e-05
345,-23457.61097512,1450,7560.0,2254923,116,0.00011155254,1e-05,0.04550204798579216,0.9923835396766663,0.2,-5.656534242630005,0.16150198196992277,0.9952175617218018,0.0,5200,-0.0007272569935086626
345,-23457.61097512,1462,7560.0,2259243,117,6.271119e-05,1e-05,0.03912268579006195,0.9880881905555725,0.2,-5.656663233041764,0.12041804743930698,0.9953089356422424,0.0,5210,-0.00040540336566652346
345,-23566.342847379994,1475,7560.0,2263563,118,6.158864e-05,1e-05,0.10881122201681137,0.9952130317687988,0.2,-5.657003486156464,0.2751067437231541,0.9953404664993286,0.0,5220,-0.0006064410330979264
