time/iterations,rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/std,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/value_loss,train/clip_fraction,train/loss,train/approx_kl,train/learning_rate
22,-33963.75707848,299,190080,7560.0,634,0.9822807312011719,0.2,-5.605006506884539,-0.006443825457072645,0.9973462820053101,210,0.0012552610492221666,0.046828703703703706,-0.02255122736096382,0.0055683325,5e-05
23,-33446.174813,300,198720,7560.0,662,0.9816714525222778,0.2,-5.600999139856409,-0.008104568841625696,0.9982584118843079,220,0.0006650914298154897,0.05082175925925926,-0.03100326843559742,0.0062794234,5e-05
24,-32943.0695897037,300,207360,7560.0,689,0.9783400297164917,0.2,-5.592324792720653,-0.00484559608105984,0.9910587072372437,230,0.0016357701831428266,0.03546296296296296,0.0004123145481571555,0.005122416,5e-05
25,-32291.17082385714,301,216000,7560.0,716,0.9764850735664368,0.2,-5.582457899164271,-0.005714303982892522,0.9893158674240112,240,0.0016139942524023355,0.04943287037037037,-0.009687436744570732,0.0061422028,5e-05
26,-31446.753950379312,301,224640,7560.0,744,0.9765510559082031,0.2,-5.5783568993321175,-0.007454839119066795,0.9965838193893433,250,0.0008633676851254508,0.059675925925925924,-0.015882521867752075,0.0067304955,5e-05
27,-30684.98294033333,302,233280,7560.0,771,0.978516697883606,0.2,-5.582883652581109,-0.005209404365332038,0.9969709515571594,260,0.0003730686836664703,0.04491898148148148,-0.017821768298745155,0.0057648066,5e-05
28,-29255.929802125,302,241920,7560.0,800,0.9737839102745056,0.2,-5.577246953822948,-0.006313786319525981,0.9958994388580322,270,0.0003573635534471746,0.06331018518518519,0.014727546833455563,0.006282417,5e-05
29,-28651.035094606057,302,250560,7560.0,828,0.9744663238525391,0.2,-5.569844931496514,-0.006344639894000634,0.9967779517173767,280,0.00026477763330654447,0.06758101851851851,-0.01667122356593609,0.006575141,5e-05
30,-28098.51573491176,303,259200,7560.0,855,0.9792052507400513,0.2,-5.580975305062753,-0.0024258079417739755,0.9933326244354248,290,0.00043377514882228784,0.019479166666666665,0.012549050152301788,0.0035979801,5e-05
31,-27580.9662808,303,267840,7560.0,883,0.9803110361099243,0.2,-5.591938763018008,-0.0023119356353870696,0.9942629337310791,300,0.00032505901574579724,0.019178240740740742,-0.01048225536942482,0.003428786,5e-05
32,-27109.259395027777,303,276480,7560.0,910,0.9844622015953064,0.2,-5.603043532194914,-0.003579434004991695,0.9943807721138,310,0.000402861324492497,0.03373842592592593,0.009146850556135178,0.0043014153,5e-05
33,-26617.954126027027,303,285120,7560.0,938,0.9882907271385193,0.2,-5.619425477628354,-0.00294072222068078,0.9952367544174194,320,0.00040281588193330985,0.019166666666666665,0.01813608594238758,0.003981211,5e-05
34,-26180.972751263154,304,293760,7560.0,965,0.9897966384887695,0.2,-5.629840611705074,-0.0026448946428933627,0.9963723421096802,330,0.0003438190870413867,0.02021990740740741,-0.0007636178634129465,0.00412958,5e-05
35,-25223.451801675,304,302400,7560.0,994,0.9909613728523254,0.2,-5.633987802929348,-0.00372197220136446,0.9960326552391052,340,0.00034605370837703555,0.02616898148148148,0.05101441591978073,0.0042352215,5e-05
36,-24776.573814439023,304,311040,7560.0,1022,0.9901024103164673,0.2,-5.636318080690172,-0.005237560269457322,0.9966990947723389,350,0.0006632331756150556,0.03931712962962963,0.0025318542029708624,0.005519865,5e-05
37,-24343.173250428572,304,319680,7560.0,1049,0.9925903081893921,0.2,-5.639286704240022,-0.004938442892119013,0.9965851306915283,360,0.00040288404571280507,0.04923611111111111,0.010936389677226543,0.0061055575,5e-05
38,-24117.74287595349,304,328320,7560.0,1077,0.9881361126899719,0.2,-5.635115500556098,-0.004967294763083811,0.9962868690490723,370,0.00039656139596007525,0.03770833333333334,-0.011998750269412994,0.005328337,5e-05
39,-23790.418951704545,304,336960,7560.0,1104,0.9898360967636108,0.2,-5.628847279725251,-0.0026766262506997146,0.991023600101471,380,0.0007201299458392896,0.021388888888888888,-0.006172169931232929,0.0032667108,5e-05
40,-23594.543224533332,305,345600,7560.0,1132,0.9919715523719788,0.2,-5.636986693982725,-0.005267789884366923,0.9927688241004944,390,0.0005051516155664878,0.03886574074074074,-0.004064411856234074,0.005327621,5e-05
41,-23395.153079326086,305,354240,7560.0,1160,0.9949495792388916,0.2,-5.647315322381479,-0.0040165679456873075,0.992603063583374,400,0.0007808620828803181,0.02957175925925926,-0.018447792157530785,0.004568664,5e-05
42,-23017.6658453125,304,362880,7560.0,1190,0.9980720281600952,0.2,-5.660242107532643,-0.0053540568229638865,0.9929657578468323,410,0.0013410018734133769,0.04201388888888889,-0.03343510627746582,0.005318435,5e-05
43,-22831.579232959182,305,371520,7560.0,1218,1.0028107166290283,0.2,-5.676073714362251,-0.004004116248408402,0.9946397542953491,420,0.0010765512060175685,0.03136574074074074,-0.022000353783369064,0.0044633113,5e-05
