time/total_timesteps,time/time_elapsed,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/value_loss,train/std,train/clip_fraction,train/approx_kl,train/entropy_loss
475200,1938,55,245,7560.0,-14196.558533080644,-0.4854809045791626,0.9990054368972778,0.2,-0.004931626616873675,5e-05,540,0.0007987004857945807,2.569157600402832,0.04414351851851852,0.0064172912,-9.419655390845405
483840,1975,56,244,7560.0,-13990.439309921876,-0.4890862703323364,0.9980704188346863,0.2,-0.003851646566591053,5e-05,550,0.0005927119734136525,2.605009078979492,0.03238425925925926,0.0053624553,-9.478613337764033
492480,2009,57,245,7560.0,-13904.217333846154,-0.49144792556762695,0.9987688660621643,0.2,-0.003117008116958594,5e-05,560,0.0005946966589868276,2.641066312789917,0.020243055555555556,0.004053145,-9.533782470137984
501120,2044,58,245,7560.0,-13800.907384969698,-0.4799393117427826,0.9988424181938171,0.2,-0.0036801836641367387,5e-05,570,0.0006526599662201652,2.685216188430786,0.028622685185185185,0.0049387165,-9.595017889517324
509760,2079,59,245,7560.0,-13719.858372626866,-0.49283888936042786,0.9988071918487549,0.2,-0.003715238198120561,5e-05,580,0.00048253892600769177,2.7234020233154297,0.026828703703703705,0.0053348015,-9.656057931405527
518400,2114,60,245,7560.0,-13634.191371632352,-0.4668344557285309,0.9985908269882202,0.2,-0.0030895798273936465,5e-05,590,0.0003309557231140961,2.757800340652466,0.025300925925925925,0.004354522,-9.70825817320082
527040,2149,61,245,7560.0,-13559.036377579709,-0.49934324622154236,0.9990751147270203,0.2,-0.003065062555725928,5e-05,600,0.00036174218271669276,2.803621292114258,0.021875,0.004960862,-9.767177879898636
535680,2183,62,245,7560.0,-13482.698276457142,-0.5200576782226562,0.9984839558601379,0.2,-0.004194417040864075,5e-05,610,0.0005268783966797249,2.860558032989502,0.02613425925925926,0.005348421,-9.839200365278456
544320,2221,63,245,7560.0,-13329.108002930556,-0.5205639600753784,0.9976509809494019,0.2,-0.0029232700589906287,5e-05,620,0.0005139441334230705,2.899324655532837,0.01392361111111111,0.0036136287,-9.905558320504648
552960,2256,64,245,7560.0,-13255.777562369864,-0.5121071338653564,0.9985634684562683,0.2,-0.0036412856572618085,5e-05,630,0.0006933574868943888,2.9440040588378906,0.02263888888888889,0.0045739464,-9.96428119941994
561600,2291,65,245,7560.0,-13184.054094743244,-0.477976530790329,0.9988709688186646,0.2,-0.0046271855685928905,5e-05,640,0.0004548730660031584,2.999476909637451,0.033483796296296296,0.0051865955,-10.032596450381808
570240,2325,66,245,7560.0,-13111.095710466667,-0.5161876082420349,0.999174952507019,0.2,-0.004753733528950424,5e-05,650,0.0002630985868961067,3.0405893325805664,0.03193287037037037,0.005857064,-10.097633036860714
578880,2359,67,245,7560.0,-13044.531302065789,-0.535136878490448,0.9991491436958313,0.2,-0.004383808863521726,5e-05,660,0.0003337383005095439,3.088578462600708,0.028993055555555557,0.0052881893,-10.156009827366582
587520,2394,68,245,7560.0,-12972.685372974025,-0.5267695188522339,0.9990172386169434,0.2,-0.005199261297195874,5e-05,670,0.000509062532251442,3.1318516731262207,0.04026620370370371,0.006236404,-10.214905083974202
596160,2428,69,245,7560.0,-12905.21349953846,-0.5460055470466614,0.9988356828689575,0.2,-0.004110065484936866,5e-05,680,0.0004290339269317445,3.1722030639648438,0.0341087962962963,0.006146299,-10.268597290604204
604800,2464,70,245,7560.0,-12759.4356399625,-0.5056547522544861,0.9989730715751648,0.2,-0.002160301110534756,5e-05,690,0.00034065590044418865,3.2133193016052246,0.014733796296296297,0.0037579827,-10.319569373660617
613440,2498,71,245,7560.0,-12691.079749407407,-0.5108203291893005,0.9985790848731995,0.2,-0.0031533675352801325,5e-05,700,0.0003342491649554749,3.263922929763794,0.02636574074074074,0.004897078,-10.375807871641936
622080,2532,72,245,7560.0,-12626.747537085364,-0.537059485912323,0.9989976286888123,0.2,-0.00287451031635067,5e-05,710,0.0004040022793924436,3.3057730197906494,0.02428240740740741,0.0053982427,-10.432559671048764
630720,2569,73,245,7560.0,-12558.916393602409,-0.5121328234672546,0.9990251660346985,0.2,-0.004207111129502731,5e-05,720,0.0003438659348089627,3.359391450881958,0.03222222222222222,0.005210244,-10.49147414666635
639360,2604,74,245,7560.0,-12503.93210765476,-0.5032257437705994,0.9988036751747131,0.2,-0.003123964500889458,5e-05,730,0.0003579251691257081,3.4063236713409424,0.019849537037037037,0.0046817823,-10.550903771011917
648000,2638,75,245,7560.0,-12440.965560388233,-0.5367699265480042,0.9984456896781921,0.2,-0.004256643451646798,5e-05,740,0.0005176456313347444,3.454449415206909,0.03048611111111111,0.004825705,-10.607526513558847
656640,2673,76,245,7560.0,-12383.112053534882,-0.5427002310752869,0.9985983967781067,0.2,-0.004008139459485257,5e-05,750,0.00038896328926461544,3.511366605758667,0.019988425925925927,0.004809762,-10.668947965833876
665280,2709,77,245,7560.0,-12273.053864147729,-0.5476757287979126,0.9987042546272278,0.2,-0.0029479993305479486,5e-05,760,0.0003408106649132808,3.554875135421753,0.02230324074074074,0.0043912074,-10.72616486090201
673920,2743,78,245,7560.0,-12219.214934674159,-0.5382232069969177,0.9992907047271729,0.2,-0.0035841777248101104,5e-05,770,0.0003048693075618724,3.6160011291503906,0.019918981481481482,0.004265385,-10.784698388841417
682560,2776,79,245,7560.0,-12164.428101766669,-0.5428487062454224,0.9990491271018982,0.2,-0.003430397865983347,5e-05,780,0.0004400384790669368,3.66959547996521,0.024953703703703704,0.00527356,-10.848127361580177
691200,2809,80,245,7560.0,-12117.276103351649,-0.5469727516174316,0.9993118047714233,0.2,-0.00382506408556192,5e-05,790,0.00034597250576889904,3.719031810760498,0.022708333333333334,0.004975228,-10.904458477585404
699840,2843,81,246,7560.0,-12067.78181701087,-0.5625041723251343,0.9991351962089539,0.2,-0.003149531899123556,5e-05,800,0.000373070634587849,3.773066520690918,0.025046296296296296,0.004764146,-10.959946925551803
708480,2876,82,246,7560.0,-12018.358421,-0.5521470308303833,0.9990933537483215,0.2,-0.0019741221634602107,5e-05,810,0.0003786098741909006,3.8293728828430176,0.013622685185185186,0.0036474832,-11.018681978296351
717120,2908,83,246,7560.0,-11971.749259957447,-0.5575598478317261,0.9991954565048218,0.2,-0.0032497110918026277,5e-05,820,0.0002927442123850428,3.8729803562164307,0.02508101851851852,0.0049003577,-11.070828465355767
725760,2943,84,246,7560.0,-11887.033066833334,-0.5474686026573181,0.9990459084510803,0.2,-0.002379627289009039,5e-05,830,0.00025351480803456746,3.933790683746338,0.01244212962962963,0.0035711566,-11.125387658719664
734400,2975,85,246,7560.0,-11831.730563989691,-0.5589602589607239,0.9991456270217896,0.2,-0.004189961858404179,5e-05,840,0.0003274253317687436,3.986454963684082,0.026516203703703705,0.0047807368,-11.182553556936758
743040,3007,86,247,7560.0,-11786.156754275511,-0.5649828314781189,0.998769223690033,0.2,-0.0035587493230209307,5e-05,850,0.00038182130989972157,4.043457984924316,0.020868055555555556,0.0047854935,-11.238712679545085
751680,3039,87,247,7560.0,-11741.674567929293,-0.551722526550293,0.9994097948074341,0.2,-0.0033779069479485907,5e-05,860,0.00022202100209715018,4.099447727203369,0.021574074074074075,0.005123767,-11.29388317461367
760320,3072,88,247,7560.0,-11696.81309576,-0.5560228228569031,0.9992466568946838,0.2,-0.003429217311657137,5e-05,870,0.0002969207278564917,4.161013603210449,0.0259375,0.004936369,-11.35096464086462
768960,3104,89,247,7560.0,-11658.981547639998,-0.5909484624862671,0.9992679953575134,0.2,-0.004243813876959461,5e-05,880,0.00026946316751289283,4.2357988357543945,0.025775462962962962,0.005170114,-11.4178116162618
777600,3136,90,247,7560.0,-11586.36336122,-0.5829395055770874,0.9991915822029114,0.2,-0.004165337723507374,5e-05,890,0.0002552334625377423,4.282751560211182,0.02547453703703704,0.004714331,-11.47387369438454
786240,3171,91,247,7560.0,-11588.82322992,-0.5768048763275146,0.9990286827087402,0.2,-0.003710000746779972,5e-05,900,0.0002731622361709553,4.3541154861450195,0.02642361111111111,0.00527422,-11.529186344853153
794880,3202,92,248,7560.0,-11393.486237519997,-0.6031776070594788,0.9991337656974792,0.2,-0.0031618205713177167,5e-05,910,0.00026395107025530673,4.413081169128418,0.01747685185185185,0.004288056,-11.589532163408068
803520,3235,93,248,7560.0,-11299.205974249999,-0.5819846987724304,0.9992868900299072,0.2,-0.0026907648358287083,5e-05,920,0.0002517944360389029,4.462464809417725,0.01625,0.004612889,-11.63689024536698
812160,3267,94,248,7560.0,-11286.295299849999,-0.5918948650360107,0.9992791414260864,0.2,-0.0027538946777996088,5e-05,930,0.0002762684816466558,4.525936603546143,0.01505787037037037,0.00381332,-11.688843594303837
820800,3299,95,248,7560.0,-11254.497433580002,-0.5799036026000977,0.9993141293525696,0.2,-0.002716335766017437,5e-05,940,0.0002477404091580495,4.584963798522949,0.014675925925925926,0.00423589,-11.742270235132288
829440,3331,96,248,7560.0,-11254.90612644,-0.5939493179321289,0.9995182752609253,0.2,-0.0024731991876399627,5e-05,950,0.0002653285155894183,4.655869960784912,0.02185185185185185,0.0047212597,-11.799303453939933
838080,3363,97,249,7560.0,-10782.05642869,-0.6200552582740784,0.9994333386421204,0.2,-0.0031079351864065287,5e-05,960,0.0002665139152075561,4.707553386688232,0.01238425925925926,0.0031206252,-11.851811294555665
846720,3397,98,249,7560.0,-10287.738893920001,-0.603561520576477,0.9994180202484131,0.2,-0.002839487131547045,5e-05,970,0.0002820130170989109,4.7606306076049805,0.01662037037037037,0.0039700763,-11.896440248136168
855360,3429,99,249,7560.0,-10271.690360270002,-0.6038024425506592,0.9995243549346924,0.2,-0.004037830355335717,5e-05,980,0.0002278458313311502,4.8247809410095215,0.021030092592592593,0.0051131947,-11.945061586874502
864000,3462,100,249,7560.0,-10245.15448984,-0.6038864254951477,0.9994437098503113,0.2,-0.0023127170824618253,5e-05,990,0.00022189478815158104,4.894042491912842,0.013229166666666667,0.0035854012,-12.001150967633283
872640,3494,101,249,7560.0,-9780.092834730001,-0.5864159464836121,0.9995359778404236,0.2,-0.003002457108900503,5e-05,1000,0.0002410128739332625,4.943995475769043,0.017280092592592593,0.0038256438,-12.049659588425248
881280,3527,102,249,7560.0,-9650.58389284,-0.6091589331626892,0.999418318271637,0.2,-0.0027661638499961957,5e-05,1010,0.0002689914498478174,5.0049214363098145,0.01898148148148148,0.0037647097,-12.093782131760209
889920,3559,103,250,7560.0,-9527.495070559999,-0.6178527474403381,0.999364972114563,0.2,-0.003078184752828545,5e-05,1020,0.00022078048809177103,5.081532001495361,0.02020833333333333,0.005001697,-12.149564647674561
898560,3591,104,250,7560.0,-9425.691937309999,-0.6165983080863953,0.9995120763778687,0.2,-0.003045355298694361,5e-05,1030,0.00022639819572860788,5.133875370025635,0.02201388888888889,0.0043045855,-12.200174253958243
907200,3625,105,250,7560.0,-9401.44346166,-0.6373112201690674,0.9994959235191345,0.2,-0.003058013420862456,5e-05,1040,0.00020620540929182121,5.2215576171875,0.0203125,0.0045693237,-12.253992899435538
915840,3658,106,250,7560.0,-9406.40078157,-0.641515851020813,0.999316394329071,0.2,-0.0038714355896054594,5e-05,1050,0.0005085130087725163,5.300124168395996,0.03085648148148148,0.005162427,-12.317784328460693
924480,3690,107,250,7560.0,-9270.228150050001,-0.5920562744140625,0.9994865655899048,0.2,-0.0030623174351812514,5e-05,1060,0.0003913677009081261,5.3876237869262695,0.017800925925925925,0.0043809363,-12.380313026286938
933120,3722,108,250,7560.0,-9271.24283854,-0.6551252603530884,0.9996023178100586,0.2,-0.0033197645870623764,5e-05,1070,0.00027458332462831296,5.462745666503906,0.016979166666666667,0.0040457062,-12.442074851989746
941760,3754,109,250,7560.0,-9137.802998120002,-0.6287656426429749,0.9994935989379883,0.2,-0.00437920700551735,5e-05,1080,0.0003370430258143676,5.533477783203125,0.026261574074074073,0.0049540494,-12.494538088904486
