rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/loss,train/entropy_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/clip_range,train/std,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/approx_kl
-6123.66785954,7560.0,297,2056320,78,2261,-0.00829270388931036,-3.537665802814342,0.9997269511222839,0.0003388749624826704,0.07140046296296296,0.2,0.6158952713012695,5e-05,2364,-0.006404272103337226,0.0071691433
-6123.463069790001,7560.0,297,2064960,79,2290,-0.02065987139940262,-3.5242619124165286,0.9998253583908081,0.0002723589684130814,0.0644212962962963,0.2,0.6139031052589417,5e-05,2374,-0.005582940051401103,0.007102648
-6129.821713240001,7560.0,298,2073600,80,2318,0.021660994738340378,-3.5079432229642515,0.999471127986908,0.0005396630213470888,0.05164351851851852,0.2,0.6120210886001587,5e-05,2384,-0.004596995200306453,0.0055655236
-6122.6755453800015,7560.0,298,2082240,81,2347,0.010222104378044605,-3.4947219830972176,0.9997665882110596,0.00025143692509219464,0.06702546296296297,0.2,0.610696017742157,5e-05,2394,-0.004963441481468854,0.007222004
-6124.57193653,7560.0,298,2090880,82,2375,-0.025356434285640717,-3.4875473532853305,0.9996569752693176,0.0003070565111475945,0.04483796296296296,0.2,0.6099206805229187,5e-05,2404,-0.002262583327031246,0.004914012
-6129.949895829999,7560.0,298,2099520,83,2404,-0.027130501344799995,-3.476994085488496,0.9996206760406494,0.00043231581579203956,0.05565972222222222,0.2,0.6079786419868469,5e-05,2414,-0.004817525446932349,0.0058462676
-6136.2942844300005,7560.0,298,2108160,84,2434,-0.002887746086344123,-3.4537162923812867,0.9997138381004333,0.0003426628454730639,0.057916666666666665,0.2,0.6037848591804504,5e-05,2424,-0.0041533253049581415,0.0064101494
-6136.216939200001,7560.0,298,2116800,85,2463,-0.005227669142186642,-3.4260164811876086,0.9997413754463196,0.00043457185355860186,0.06042824074074074,0.2,0.6005304455757141,5e-05,2434,-0.004945752216778972,0.0062931133
-6121.3350470000005,7560.0,298,2125440,86,2492,-0.013174463994801044,-3.4122242244084675,0.9997357130050659,0.00030034044585018247,0.06194444444444445,0.2,0.6005778312683105,5e-05,2444,-0.005104445651932447,0.006565816
-6112.64894805,7560.0,298,2134080,87,2520,-0.01248438935726881,-3.40144805042832,0.9997254014015198,0.0006090025947304201,0.06871527777777778,0.2,0.5979822874069214,5e-05,2454,-0.005044781364569509,0.0060821823
-6115.3676834299995,7560.0,298,2142720,88,2549,-0.006373449694365263,-3.3855364040092186,0.9995892643928528,0.0005767419547407405,0.06159722222222222,0.2,0.595981240272522,5e-05,2464,-0.004144281585252396,0.0065308255
-6112.611508190001,7560.0,298,2151360,89,2577,-0.02511756122112274,-3.3718781695542512,0.9997961521148682,0.0002880298604604495,0.05811342592592592,0.2,0.5950561761856079,5e-05,2474,-0.004394159327709564,0.006841635
-6117.33211035,7560.0,298,2160000,90,2605,-0.009652289561927319,-3.356298173268636,0.9997557401657104,0.00035050792544670577,0.06842592592592593,0.2,0.5921903848648071,5e-05,2484,-0.004867726024240255,0.0073438007
-6115.997061749999,7560.0,298,2168640,91,2635,0.013437076471745968,-3.335493595158612,0.9997811317443848,0.00028622994461868616,0.06958333333333333,0.2,0.5898036956787109,5e-05,2494,-0.004160332447090359,0.00746671
-6112.980349000001,7560.0,298,2177280,92,2664,0.007469748612493277,-3.314676936114276,0.9998178482055664,0.000329651039037681,0.06262731481481482,0.2,0.5873862504959106,5e-05,2504,-0.005408218060102728,0.0061351345
-6111.302970680001,7560.0,298,2185920,93,2692,-0.01129397563636303,-3.3002646797674675,0.9998040199279785,0.00026885373015560346,0.06924768518518519,0.2,0.5859912037849426,5e-05,2514,-0.005410471912473441,0.0068279947
-6108.714363270002,7560.0,298,2194560,94,2721,0.006751670967787504,-3.289291568155642,0.9997963905334473,0.00027864033695853624,0.05327546296296296,0.2,0.5841454267501831,5e-05,2524,-0.003375156870525744,0.005973497
-6107.47168204,7560.0,298,2203200,95,2749,-0.022794345393776894,-3.2846113254405833,0.9997798800468445,0.0002430055579019676,0.06239583333333333,0.2,0.5854074358940125,5e-05,2534,-0.004469174534013426,0.0058383015
-6115.607027700001,7560.0,298,2211840,96,2778,-0.0035687866620719433,-3.2809642230139837,0.9997597336769104,0.0004064113514053773,0.07408564814814815,0.2,0.5846381783485413,5e-05,2544,-0.0051611028908303495,0.0069850297
-6122.20740287,7560.0,298,2220480,97,2806,-0.009584479033946991,-3.2756693341996934,0.9997456669807434,0.0003045167017424117,0.04741898148148148,0.2,0.5843802094459534,5e-05,2554,-0.004031135475918375,0.006017165
-6120.58613998,7560.0,298,2229120,98,2836,0.0072919344529509544,-3.2710734151910854,0.9995988607406616,0.00035393641899443334,0.060833333333333336,0.2,0.5842403173446655,5e-05,2564,-0.003337542777536092,0.0064072087
-6119.785180160001,7560.0,298,2237760,99,2864,-0.031865671277046204,-3.259169909865768,0.9998897314071655,0.00024651797515279784,0.06565972222222222,0.2,0.5821678638458252,5e-05,2574,-0.004106500077759847,0.006970811
-6128.706645189999,7560.0,298,2246400,100,2893,-0.022991197183728218,-3.247351925637987,0.9997203946113586,0.00031037110227906075,0.04521990740740741,0.2,0.5818755626678467,5e-05,2584,-0.002496903614761929,0.0055840877
-6128.952473119999,7560.0,298,2255040,101,2922,0.011919273063540459,-3.232403140951086,0.999866247177124,0.00021365620086456787,0.06849537037037037,0.2,0.579423189163208,5e-05,2594,-0.005454434741081463,0.0067861583
-6128.760632319999,7560.0,298,2263680,102,2951,-0.036275628954172134,-3.2232043589486015,0.9997509717941284,0.00028088838795223704,0.056087962962962964,0.2,0.5796046853065491,5e-05,2604,-0.002704602894373238,0.0064069633
-6128.85116017,7560.0,298,2272320,103,2979,-0.027813494205474854,-3.2167753420935736,0.999823272228241,0.00029283680251359734,0.0627199074074074,0.2,0.5779860615730286,5e-05,2614,-0.0036592232805021385,0.0061146505
-6129.533801389999,7560.0,298,2280960,104,3008,-0.025150297209620476,-3.2016049725921065,0.999741792678833,0.00031985169671652666,0.061921296296296294,0.2,0.5764852166175842,5e-05,2624,-0.0030898765664271735,0.0060024313
-6138.01286998,7560.0,298,2289600,105,3038,0.006222574971616268,-3.191178068231653,0.9996650815010071,0.0004459986521288994,0.06780092592592593,0.2,0.5765182971954346,5e-05,2634,-0.0035441378293627943,0.006714402
-6140.094722689999,7560.0,298,2298240,106,3066,0.012766031548380852,-3.1801568412780763,0.9998149275779724,0.00033820293671818003,0.049074074074074076,0.2,0.5754315853118896,5e-05,2644,-0.00285315143134169,0.005976129
-6148.38475316,7560.0,298,2306880,107,3095,-0.004489575512707233,-3.167785019697966,0.9997888803482056,0.0003604494276482405,0.0648611111111111,0.2,0.5731924772262573,5e-05,2654,-0.004640537165622744,0.006535645
-6149.533550350001,7560.0,298,2315520,108,3123,-0.005906225647777319,-3.153620311065956,0.9997785687446594,0.0004449134823247463,0.07141203703703704,0.2,0.5725758075714111,5e-05,2664,-0.00626927885123425,0.006384503
-6157.293155010001,7560.0,298,2324160,109,3152,-0.003331876825541258,-3.1341798842394795,0.999772310256958,0.0003154532527939106,0.04428240740740741,0.2,0.5707651376724243,5e-05,2674,-0.002001477004442778,0.005380732
-6152.752528550002,7560.0,298,2332800,110,3181,0.0025040898472070694,-3.1158226943899083,0.9998568296432495,0.00026611184366629457,0.06979166666666667,0.2,0.568236231803894,5e-05,2684,-0.0050716251158155505,0.006993451
-6160.5098655500005,7560.0,298,2341440,111,3209,0.017493709921836853,-3.0981887910984183,0.9997855424880981,0.00036744070344462267,0.07121527777777778,0.2,0.5661101937294006,5e-05,2694,-0.00430454740818176,0.007510181
-6161.022759699999,7560.0,298,2350080,112,3239,-0.008199921809136868,-3.0838162102522673,0.999817967414856,0.0002715522089608755,0.059340277777777777,0.2,0.5651108622550964,5e-05,2704,-0.002418653872898883,0.007066264
-6161.42002432,7560.0,298,2358720,113,3268,-0.0022483274806290865,-3.070573887648406,0.9998119473457336,0.0003595605359037614,0.0678125,0.2,0.5620748996734619,5e-05,2714,-0.0034031472522420463,0.006815437
-6160.2184387199995,7560.0,298,2367360,114,3296,0.012367438524961472,-3.0574691920810277,0.9998853206634521,0.0002129892729270203,0.07586805555555555,0.2,0.5614238977432251,5e-05,2724,-0.003932682271805351,0.007053473
-6162.2230635099995,7560.0,298,2376000,115,3324,-0.004557531327009201,-3.0427378034591674,0.9998029470443726,0.0002648585515729523,0.06680555555555556,0.2,0.5588083863258362,5e-05,2734,-0.004319098375530707,0.0063419156
-6163.475262429999,7560.0,298,2384640,116,3353,-0.030533941462635994,-3.022882626144974,0.9997316002845764,0.0004998351090708403,0.06509259259259259,0.2,0.5566549897193909,5e-05,2744,-0.0044292702703495265,0.0066088247
-6166.0227162599995,7560.0,298,2393280,117,3381,-0.005973253399133682,-3.0041895721576832,0.9998148083686829,0.00027525379810227875,0.0580787037037037,0.2,0.5557594299316406,5e-05,2754,-0.0038860149589298224,0.0067052953
-6169.1393687499985,7560.0,298,2401920,118,3410,0.005234256386756897,-2.9825551040084273,0.9998151659965515,0.00024047002133253652,0.07836805555555555,0.2,0.5522435307502747,5e-05,2764,-0.004845949185460254,0.007976419
-6171.99248219,7560.0,298,2410560,119,3440,-0.0007840588223189116,-2.969464719913624,0.9996578693389893,0.000360664802477307,0.05862268518518519,0.2,0.5515618920326233,5e-05,2774,-0.0033345209876144374,0.0058566756
-6170.988852290001,7560.0,298,2419200,120,3468,-0.006676446180790663,-2.9612851817519577,0.9998774528503418,0.00026468425310061626,0.07427083333333333,0.2,0.5508241653442383,5e-05,2784,-0.004745023024820343,0.0073841554
-6171.225151730002,7560.0,298,2427840,121,3498,0.0033074459061026573,-2.9500668946018926,0.9997836947441101,0.0002681701369173997,0.05792824074074074,0.2,0.549265444278717,5e-05,2794,-0.0033059705000508715,0.0067839404
-6170.288355050001,7560.0,298,2436480,122,3526,0.004039270803332329,-2.92653841248265,0.9998158812522888,0.00020433221183743122,0.065625,0.2,0.5454186797142029,5e-05,2804,-0.0033090017094380324,0.0068195974
-6170.4320321,7560.0,298,2445120,123,3554,-0.022784337401390076,-2.909308556980557,0.9997998476028442,0.00021730673097341356,0.058541666666666665,0.2,0.5446250438690186,5e-05,2814,-0.002234764927825718,0.006510663
-6170.296041829999,7560.0,299,2453760,124,3582,-0.015539395622909069,-2.8986003826282642,0.9997560381889343,0.00033474534218031393,0.07214120370370371,0.2,0.5428797006607056,5e-05,2824,-0.004479971094815819,0.00629371
-6171.18304633,7560.0,299,2462400,125,3611,0.0032472454477101564,-2.8845200697580973,0.9998337030410767,0.00024760256102632005,0.06819444444444445,0.2,0.541878342628479,5e-05,2834,-0.004377949695551285,0.0069761174
-6169.12095984,7560.0,298,2471040,126,3642,-0.005486946552991867,-2.8740778976016577,0.9997064471244812,0.00038380223550592307,0.06849537037037037,0.2,0.5406169295310974,5e-05,2844,-0.0040859635201869185,0.006776654
-6169.755793710001,7560.0,298,2479680,127,3670,-0.021793028339743614,-2.854818733356617,0.9998408555984497,0.0002581232629125696,0.05476851851851852,0.2,0.537207841873169,5e-05,2854,-0.003806777804814003,0.006161538
-6169.287371000001,7560.0,298,2488320,128,3699,0.0069511584006249905,-2.835524753641199,0.9997437596321106,0.0003632426470371515,0.07116898148148149,0.2,0.5355639457702637,5e-05,2864,-0.0041154541444309335,0.0072389278
-6168.513414500001,7560.0,299,2496960,129,3727,-0.018356792628765106,-2.820848134888543,0.9998298287391663,0.00021316795651391321,0.049247685185185186,0.2,0.5341240167617798,5e-05,2874,-0.0023813081641371053,0.005306448
-6169.173614740001,7560.0,299,2505600,130,3755,0.01949491538107395,-2.8141176423320062,0.9997656345367432,0.0002486958661487464,0.06516203703703703,0.2,0.5352268815040588,5e-05,2884,-0.00399672657854993,0.007562859
-6168.76463858,7560.0,299,2514240,131,3784,-0.0011308436514809728,-2.8006260151333278,0.9998299479484558,0.00023120689863356312,0.07574074074074075,0.2,0.5317116379737854,5e-05,2894,-0.00452966489346215,0.0073893
-6168.576808209999,7560.0,299,2522880,132,3812,0.0007780322921462357,-2.773667596181234,0.9998085498809814,0.0002573318075748695,0.0661111111111111,0.2,0.5296140313148499,5e-05,2904,-0.004152073746685077,0.007121817
-6166.36343121,7560.0,299,2531520,133,3842,0.002731450367718935,-2.752784655712269,0.9996428489685059,0.0004445272197847737,0.06484953703703704,0.2,0.5282342433929443,5e-05,2914,-0.0041203718153000985,0.0063829594
-6167.8605854200005,7560.0,299,2540160,134,3870,-0.003387155244126916,-2.7406157880359228,0.9998016357421875,0.00032713462234285,0.06077546296296296,0.2,0.527276337146759,5e-05,2924,-0.0026418373347432524,0.0060108555
-6165.89735041,7560.0,299,2548800,135,3899,-0.0067705996334552765,-2.730579046849851,0.9997178316116333,0.0002649651154987859,0.051215277777777776,0.2,0.5272908806800842,5e-05,2934,-0.0016682910498369624,0.005938384
-6166.1603809299995,7560.0,299,2557440,136,3927,-0.00039779345388524234,-2.724937517201459,0.9997523427009583,0.0002416108203383542,0.06289351851851852,0.2,0.5268887877464294,5e-05,2944,-0.0036186202553411327,0.0066726697
-6164.200969699999,7560.0,299,2566080,137,3955,-0.01961608976125717,-2.7196077071295846,0.999643862247467,0.0004297216840603613,0.07203703703703704,0.2,0.527363657951355,5e-05,2954,-0.00475823878750412,0.0072341273
-6164.578631970001,7560.0,299,2574720,138,3984,-0.006333488970994949,-2.7004743759720413,0.9997904896736145,0.00025364426772554266,0.057951388888888886,0.2,0.5241565108299255,5e-05,2964,-0.0032952976012947384,0.005838916
-6161.66691494,7560.0,299,2583360,139,4011,-0.014210877940058708,-2.684059457425718,0.999688446521759,0.00048754398649584297,0.07844907407407407,0.2,0.5245355367660522,5e-05,2974,-0.004172210274781618,0.007264947
