time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,train/clip_range,train/explained_variance,train/value_loss,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/entropy_loss,train/loss,train/std
30,259200,-22290.606640733335,315,8640.0,822,5e-05,0.2,0.9991989731788635,0.0037625907345123035,290,0.0045850375,-0.004278209749954166,0.028761574074074075,-6.833032804418493,-0.34502190351486206,1.3544734716415405
31,267840,-22165.710832645163,314,8640.0,850,5e-05,0.2,0.9990783929824829,0.004386182724998367,300,0.0044219317,-0.00572174481133482,0.03211805555555555,-6.862460392139576,-0.3361988663673401,1.3661948442459106
32,276480,-22054.79728146875,314,8640.0,878,5e-05,0.2,0.9991884827613831,0.004099651755144199,310,0.0037719882,-0.0034683185453630158,0.022060185185185186,-6.892926157845391,-0.35340988636016846,1.3783190250396729
33,285120,-21937.90711151515,314,8640.0,906,5e-05,0.2,0.9990770816802979,0.003963631971359805,320,0.005228131,-0.005176515178754925,0.036689814814814814,-6.926977507979782,-0.3498726487159729,1.392677903175354
34,293760,-21837.164886529412,314,8640.0,934,5e-05,0.2,0.9991013407707214,0.0037566435027488127,330,0.005380212,-0.0048100225196254474,0.03909722222222222,-6.966443926493326,-0.36960169672966003,1.4087786674499512
35,302400,-21751.270000714285,314,8640.0,962,5e-05,0.2,0.9991692304611206,0.004182881809667581,340,0.0045618424,-0.003862742441533892,0.022997685185185184,-7.0015017537717466,-0.3641393482685089,1.4221372604370117
36,311040,-21668.760498833333,314,8640.0,989,5e-05,0.2,0.9990503191947937,0.0038630800131121993,350,0.0052069724,-0.005843772860243917,0.03222222222222222,-7.040155643180564,-0.33630165457725525,1.4403629302978516
37,319680,-21582.123360513513,314,8640.0,1017,5e-05,0.2,0.998820960521698,0.004050565020836614,360,0.00493836,-0.004504572716714055,0.03625,-7.070846634617558,-0.36643821001052856,1.4478226900100708
38,328320,-21492.28316023684,314,8640.0,1045,5e-05,0.2,0.9985120296478271,0.004730830886228769,370,0.0057299435,-0.0043361672659025146,0.039594907407407405,-7.1014963619797316,-0.337048202753067,1.4638229608535767
39,336960,-21409.633237769227,313,8640.0,1073,5e-05,0.2,0.9989769458770752,0.0032906876840732165,380,0.00435365,-0.004815876475293879,0.025949074074074076,-7.146199904194584,-0.35058221220970154,1.4842088222503662
40,345600,-21341.489898775,313,8640.0,1101,5e-05,0.2,0.9991398453712463,0.0030060409442349166,390,0.0047460846,-0.00467449514798958,0.0296875,-7.181826317045424,-0.3595733046531677,1.4954224824905396
41,354240,-21270.953077707316,313,8640.0,1129,5e-05,0.2,0.9991087913513184,0.003127332877419475,400,0.004990147,-0.00502356469217274,0.03311342592592593,-7.209284630881416,-0.37286266684532166,1.5090155601501465
42,362880,-21194.330221738095,313,8640.0,1157,5e-05,0.2,0.999068558216095,0.003013781823511063,410,0.004875686,-0.004399111509685301,0.02886574074074074,-7.2332978608873155,-0.3686155676841736,1.5175721645355225
43,371520,-21125.96596551163,313,8640.0,1185,5e-05,0.2,0.9991381764411926,0.0029561382815397035,420,0.0048710597,-0.004009248967178994,0.02392361111111111,-7.260842994407371,-0.40147528052330017,1.5325887203216553
44,380160,-21065.53904025,313,8640.0,1213,5e-05,0.2,0.9990106225013733,0.002762532518590214,430,0.0037739724,-0.003914134975660731,0.014456018518518519,-7.283581486807929,-0.38643646240234375,1.539688229560852
45,388800,-20994.38082848889,313,8640.0,1241,5e-05,0.2,0.9990934729576111,0.0026726944722166215,440,0.0050129592,-0.004614907869793199,0.027627314814814816,-7.299798753526476,-0.3634703457355499,1.5486361980438232
46,397440,-20927.883195326092,313,8640.0,1269,5e-05,0.2,0.9991740584373474,0.002614585518905962,450,0.004345336,-0.004134872083345221,0.02179398148148148,-7.323674401177301,-0.37825942039489746,1.5620089769363403
47,406080,-20868.953856808515,313,8640.0,1296,5e-05,0.2,0.9991716146469116,0.0023351472015147685,460,0.003997376,-0.0039465132540229845,0.02428240740740741,-7.351113717820909,-0.3690990209579468,1.575222134590149
48,414720,-20810.012554770834,313,8640.0,1324,5e-05,0.2,0.9992893934249878,0.0025402967331292865,470,0.004978174,-0.005886365425497017,0.031689814814814816,-7.369257864422268,-0.3734106421470642,1.5827374458312988
49,423360,-20747.559836122447,313,8640.0,1352,5e-05,0.2,0.9992402791976929,0.0024559756991005053,480,0.004499867,-0.004914040114834077,0.022974537037037036,-7.377829288200096,-0.3742750585079193,1.588634967803955
50,432000,-20688.503117099997,312,8640.0,1380,5e-05,0.2,0.9992273449897766,0.002113746407062367,490,0.004287038,-0.004058439081741704,0.025659722222222223,-7.394106504299023,-0.3749827444553375,1.6030724048614502
51,440640,-20634.680345666664,312,8640.0,1408,5e-05,0.2,0.9991158246994019,0.0017933450212822882,500,0.004800864,-0.0043972247318985564,0.02539351851851852,-7.415786022256921,-0.3866119384765625,1.6111851930618286
52,449280,-20573.10641305769,312,8640.0,1436,5e-05,0.2,0.9991327524185181,0.0019610615730440866,510,0.005199472,-0.003941781910101849,0.0334375,-7.447044754028321,-0.366304486989975,1.6327426433563232
53,457920,-20512.984251320748,312,8640.0,1463,5e-05,0.2,0.9991662502288818,0.0022532026999612788,520,0.0041500535,-0.003829699021384672,0.01871527777777778,-7.479409843374182,-0.38327106833457947,1.6448144912719727
54,466560,-20451.634703740736,312,8640.0,1491,5e-05,0.2,0.9991562962532043,0.0018495802078999717,530,0.005081411,-0.005844487126278519,0.029131944444444443,-7.500628893110488,-0.38570114970207214,1.6570799350738525
55,475200,-20397.320122581812,312,8640.0,1518,5e-05,0.2,0.999293863773346,0.0019170469265534645,540,0.0048211627,-0.004621628749063584,0.025798611111111112,-7.523210408599288,-0.39451324939727783,1.669022798538208
56,483840,-20337.96060994643,312,8640.0,1546,5e-05,0.2,0.9991859197616577,0.0019421118685837696,550,0.005420176,-0.006704619948890198,0.03283564814814815,-7.537014961595888,-0.40580788254737854,1.6771165132522583
57,492480,-20276.990963280703,312,8640.0,1574,5e-05,0.2,0.9993178844451904,0.0019583212846838354,560,0.0044738017,-0.00521281891623167,0.029930555555555554,-7.550033497633757,-0.3676462769508362,1.6874146461486816
58,501120,-20226.307240275863,312,8640.0,1602,5e-05,0.2,0.9992702007293701,0.001851956656297531,570,0.005148568,-0.004944240830286785,0.03436342592592593,-7.565530605316162,-0.3923499286174774,1.695725440979004
59,509760,-20164.70523459322,312,8640.0,1630,5e-05,0.2,0.9992817640304565,0.0016192591224400395,580,0.0036502618,-0.0037819411907414045,0.018368055555555554,-7.5845170995924205,-0.4035102427005768,1.7105798721313477
60,518400,-20105.933470250002,312,8640.0,1658,5e-05,0.2,0.9991331100463867,0.0017267018387577048,590,0.005347733,-0.005906828537548858,0.035069444444444445,-7.6081253765247485,-0.3684852123260498,1.7271308898925781
61,527040,-20050.239893295085,312,8640.0,1686,5e-05,0.2,0.9992058873176575,0.0017467019648756833,600,0.003816413,-0.004093594451745351,0.019328703703703702,-7.6244872619487625,-0.3820223808288574,1.7374789714813232
62,535680,-19996.481356483873,312,8640.0,1714,5e-05,0.2,0.999194324016571,0.0017619089970658361,610,0.0044353236,-0.003190663238056004,0.01875,-7.649140695642542,-0.41228342056274414,1.7576451301574707
63,544320,-19949.343946761906,312,8640.0,1742,5e-05,0.2,0.9992172718048096,0.0015360980286452644,620,0.004588549,-0.0038900623375687886,0.023541666666666666,-7.676992936664157,-0.39249569177627563,1.7734817266464233
64,552960,-19901.576514203123,312,8640.0,1770,5e-05,0.2,0.9989238381385803,0.0019105541825518702,630,0.003942296,-0.004048916646796796,0.018298611111111113,-7.696643486022949,-0.39553093910217285,1.7864940166473389
65,561600,-19855.04854913846,312,8640.0,1798,5e-05,0.2,0.9991992712020874,0.001987155123044633,640,0.0037337807,-0.0036990903668036616,0.014166666666666666,-7.714574114834821,-0.3979812264442444,1.7994707822799683
66,570240,-19805.54592319697,312,8640.0,1825,5e-05,0.2,0.999089241027832,0.0014562055748387206,650,0.0045940685,-0.004450861283371018,0.029930555555555554,-7.73753719329834,-0.4197034239768982,1.8176487684249878
67,578880,-19753.926991044773,312,8640.0,1853,5e-05,0.2,0.9992203712463379,0.0015259643650130817,660,0.00589437,-0.006219195832187931,0.038935185185185184,-7.763087638925623,-0.4144692122936249,1.832187294960022
68,587520,-19709.802601647058,312,8640.0,1881,5e-05,0.2,0.999251663684845,0.0016046396157859515,670,0.0052358285,-0.005512268557558181,0.03128472222222222,-7.784669155544705,-0.39643236994743347,1.84770667552948
69,596160,-19661.915348942028,312,8640.0,1908,5e-05,0.2,0.9990053772926331,0.0014192189898393633,680,0.005041737,-0.0052535994999386645,0.026377314814814815,-7.80777573161655,-0.4135286509990692,1.8650230169296265
70,604800,-19622.049706842856,312,8640.0,1936,5e-05,0.2,0.9991819262504578,0.0015290724614600616,690,0.0052975165,-0.00641991353817974,0.03238425925925926,-7.823130709330241,-0.3905389606952667,1.876359224319458
71,613440,-19578.866321478872,312,8640.0,1964,5e-05,0.2,0.9992296695709229,0.0013280013246737697,700,0.0056274883,-0.004366493820023068,0.03813657407407407,-7.84581215399283,-0.39665332436561584,1.8942029476165771
72,622080,-19538.06201558333,312,8640.0,1991,5e-05,0.2,0.9992775917053223,0.0014401256231832559,710,0.0048769517,-0.004508610578357345,0.029456018518518517,-7.875379120862043,-0.4119231700897217,1.9128665924072266
73,630720,-19496.11179117808,312,8640.0,2019,5e-05,0.2,0.9993195533752441,0.0012744758660577376,720,0.0042945165,-0.004011081682466384,0.02511574074074074,-7.901995055233991,-0.40962275862693787,1.9279701709747314
74,639360,-19456.326870418918,312,8640.0,2047,5e-05,0.2,0.9992235898971558,0.0014448288540976743,730,0.004560607,-0.0034524525005232404,0.021064814814814814,-7.936805585578636,-0.40425148606300354,1.953877329826355
75,648000,-19410.6905696,312,8640.0,2075,5e-05,0.2,0.9993435144424438,0.0013784529930153102,740,0.004334721,-0.004640791289059928,0.022476851851851852,-7.974342088699341,-0.38440248370170593,1.9759794473648071
76,656640,-19375.10999653947,312,8640.0,2102,5e-05,0.2,0.9993741512298584,0.0013206845189496462,750,0.0043420712,-0.003976446092818622,0.024120370370370372,-7.99829205583643,-0.38472023606300354,1.989794373512268
77,665280,-19343.054111532467,312,8640.0,2130,5e-05,0.2,0.9992814064025879,0.0015659359518731771,760,0.0048526456,-0.0045757484949987244,0.03113425925925926,-8.018540068025942,-0.424392968416214,2.011794090270996
