time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/clip_range,train/loss,train/clip_fraction,train/std,train/entropy_loss,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/explained_variance,train/approx_kl,train/learning_rate,train/value_loss
6498,295,445,1922400,-0.0037770818073220333,0.2,-0.05817725136876106,0.012982536764705883,1.1034321784973145,-6.067275933658375,7560.0,4440,-7271.902830169999,0.9958572387695312,0.004150335,1e-05,0.0006278066697525313
6511,295,446,1926720,-0.0023069578510544757,0.2,-0.07518986612558365,0.0024356617647058824,1.1044275760650635,-6.069603638088002,7560.0,4450,-7271.902830169999,0.9992190599441528,0.002675677,1e-05,0.000745530421494657
6527,295,447,1931040,-0.002543736111564452,0.2,-0.044246818870306015,0.0055606617647058825,1.1046185493469238,-6.071755806838765,7560.0,4460,-7271.776591490001,0.9945650696754456,0.0034211024,1e-05,0.0004984236606533694
6542,295,448,1935360,-0.0022733235974823508,0.2,-0.03909005969762802,0.006870404411764706,1.1052559614181519,-6.073229435612173,7560.0,4470,-7273.224316869999,0.9990444183349609,0.0034069717,1e-05,0.00111618665550315
6555,295,449,1939680,-0.003980993976309786,0.2,-0.04080992937088013,0.012591911764705883,1.1059627532958984,-6.075523134540109,7560.0,4480,-7273.224316869999,0.998729944229126,0.0042910445,1e-05,0.0005531691283977124
6571,295,450,1944000,-0.0037654618575128124,0.2,-0.06533186882734299,0.012247242647058823,1.106306552886963,-6.07749352385016,7560.0,4490,-7273.2698746999995,0.9990963935852051,0.0036737,1e-05,0.000995979848641368
6584,295,451,1948320,-0.0020893261458053637,0.2,-0.06112486869096756,0.0032628676470588236,1.106378197669983,-6.078241526379305,7560.0,4500,-7273.2698746999995,0.9993734955787659,0.002671641,1e-05,0.0006014514243254191
6600,295,452,1952640,-0.0034444134545457716,0.2,-0.05246185511350632,0.013717830882352941,1.106784701347351,-6.079057868087993,7560.0,4510,-7274.855856990001,0.9949456453323364,0.003979295,1e-05,0.0005091456450934536
6614,295,453,1956960,-0.002361127476016169,0.2,-0.040703464299440384,0.010615808823529412,1.1072051525115967,-6.080661045803743,7560.0,4520,-7274.855856990001,0.9994139075279236,0.003437015,1e-05,0.0006488921648483751
6629,295,454,1961280,-0.0031024973726530066,0.2,-0.06534315645694733,0.012844669117647058,1.107456922531128,-6.081870511700125,7560.0,4530,-7275.773711530001,0.99373859167099,0.0041486933,1e-05,0.000419443976609139
6644,295,455,1965600,-0.0025566093760597355,0.2,-0.07561446726322174,0.00900735294117647,1.1082249879837036,-6.083841486538158,7560.0,4540,-7277.049109390001,0.9993299245834351,0.0041524754,1e-05,0.0006904063224604162
6658,295,456,1969920,-0.0023989200705032358,0.2,-0.062302060425281525,0.003010110294117647,1.1087576150894165,-6.086142979649937,7560.0,4550,-7277.049109390001,0.9990206956863403,0.0031749364,1e-05,0.000448156492326662
6673,295,457,1974240,-0.0013555730525267255,0.2,-0.05444919317960739,0.0026654411764705883,1.109123945236206,-6.087709043306463,7560.0,4560,-7279.27266282,0.9992027282714844,0.00264456,1e-05,0.0007929868958265561
6687,295,458,1978560,-0.0020526925331282924,0.2,-0.06684621423482895,0.003791360294117647,1.1093151569366455,-6.088737158214345,7560.0,4570,-7279.27266282,0.999474048614502,0.0022014708,1e-05,0.0005094896367475432
6703,295,459,1982880,-0.0022573758954154877,0.2,-0.05813112109899521,0.003239889705882353,1.1094602346420288,-6.089367407209733,7560.0,4580,-7280.9727431400015,0.9929730892181396,0.0029030167,1e-05,0.0005410661213211236
