time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/explained_variance,train/std,rollout/ep_rew_mean,train/approx_kl,train/loss,train/clip_fraction,train/clip_range,train/learning_rate,train/value_loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss,rollout/ep_len_mean
362880,1174,309,84,0.9965248703956604,0.8992359638214111,-6493.037050333332,0.0128957685,-0.009294183924794197,0.11240740688517689,0.2,0.0005,0.009231031069066375,830,-5.24509482383728,-0.006794206776216072,7560.0
367200,1185,309,85,0.9948270320892334,0.8961684703826904,-6493.037050333332,0.005293497,-0.011391893960535526,0.08125000139698386,0.2,0.0005,0.015102423389907926,840,-5.235603761672974,-0.005272683981036153,7560.0
371520,1198,310,86,0.9952893853187561,0.8971779346466064,-6441.062980530612,0.0073323166,-0.007284175604581833,0.06567129677569028,0.2,0.0005,0.012051538797095418,850,-5.223953199386597,-0.004820327640412003,7560.0
375840,1209,310,87,0.9918846487998962,0.8964536190032959,-6441.062980530612,0.0070375977,-0.01054475735872984,0.08615740678505972,0.2,0.0005,0.012066234613303094,860,-5.230706644058228,-0.005764312345509781,7560.0
380160,1222,310,88,0.9959657192230225,0.8962729573249817,-6390.970461599999,0.007413244,-0.008024551905691624,0.053379629863775334,0.2,0.0005,0.013739882945083081,870,-5.221395254135132,-0.005258255727517281,7560.0
384480,1233,311,89,0.9960781335830688,0.8943129777908325,-6390.970461599999,0.0066036144,-0.005238144192844629,0.05583333385875448,0.2,0.0005,0.01036372798262164,880,-5.222456741333008,-0.005113451801410207,7560.0
388800,1246,311,90,0.9940993189811707,0.8926348090171814,-6345.468235137254,0.0063307947,-0.007970758713781834,0.03858796318527311,0.2,0.0005,0.012892416201066226,890,-5.210654711723327,-0.004406827524783097,7560.0
393120,1259,312,91,0.9956363439559937,0.891547441482544,-6298.397956307691,0.0062523354,-0.008996140211820602,0.05650462894700468,0.2,0.0005,0.011076799442525953,900,-5.207372093200684,-0.0049419319433596344,7560.0
397440,1271,312,92,0.9948204755783081,0.8900666832923889,-6298.397956307691,0.004994814,-0.00851843599230051,0.0642824079026468,0.2,0.0005,0.01341848336160183,910,-5.2025696516036986,-0.005430047256865045,7560.0
401760,1284,312,93,0.9971331357955933,0.8894083499908447,-6260.701888981131,0.005849557,-0.010247260332107544,0.07784722243086435,0.2,0.0005,0.011727149947546422,920,-5.1952657222747805,-0.006295872998673957,7560.0
406080,1295,313,94,0.9916930198669434,0.8900883793830872,-6260.701888981131,0.0046237633,-0.010245869867503643,0.08476851891027763,0.2,0.0005,0.020197432860732077,930,-5.195621538162231,-0.006061758589305554,7560.0
410400,1308,313,95,0.9958454370498657,0.8884750604629517,-6221.465925537036,0.0059648063,-0.0056104050017893314,0.03706018504162785,0.2,0.0005,0.014823087374679744,940,-5.193686771392822,-0.003492765036946288,7560.0
414720,1319,314,96,0.9958730340003967,0.8876158595085144,-6221.465925537036,0.0054817423,-0.010688177309930325,0.0531712962401798,0.2,0.0005,0.01326925401808694,950,-5.184821891784668,-0.005521453215651118,7560.0
419040,1332,314,97,0.9938925504684448,0.8894594311714172,-6187.246321072726,0.0069210595,-0.008854629471898079,0.06025462989346124,0.2,0.0005,0.01587532302364707,960,-5.185673618316651,-0.0052626833953304695,7560.0
423360,1345,314,98,0.9970085620880127,0.8867703676223755,-6156.265856357143,0.005089322,-0.010689696297049522,0.06768518594035414,0.2,0.0005,0.012012396741192788,970,-5.186777782440186,-0.00671105576502864,7560.0
427680,1356,315,99,0.9945735931396484,0.8827490210533142,-6156.265856357143,0.006420711,-0.00730157783254981,0.05520833350601606,0.2,0.0005,0.016104279179126026,980,-5.166427040100098,-0.004766094693574497,7560.0
432000,1369,315,100,0.9982037544250488,0.880822479724884,-6123.869390789474,0.0074166646,-0.007497244514524937,0.05280092610046268,0.2,0.0005,0.010709710256196558,990,-5.154702925682068,-0.004159716267516811,7560.0
