time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,train/entropy_loss,train/loss,train/learning_rate,train/approx_kl,train/explained_variance,train/clip_fraction,train/n_updates,train/clip_range,train/policy_gradient_loss,train/value_loss,train/std
1194,41,-21270.953077707316,8640.0,296,354240,-7.209284630881416,-0.37286266684532166,5e-05,0.004990147,0.9991087913513184,0.03311342592592593,400,0.2,-0.00502356469217274,0.003127332877419475,1.5090155601501465
1222,42,-21194.330221738095,8640.0,296,362880,-7.2332978608873155,-0.3686155676841736,5e-05,0.004875686,0.999068558216095,0.02886574074074074,410,0.2,-0.004399111509685301,0.003013781823511063,1.5175721645355225
1250,43,-21125.96596551163,8640.0,297,371520,-7.260842994407371,-0.40147528052330017,5e-05,0.0048710597,0.9991381764411926,0.02392361111111111,420,0.2,-0.004009248967178994,0.0029561382815397035,1.5325887203216553
1277,44,-21065.53904025,8640.0,297,380160,-7.283581486807929,-0.38643646240234375,5e-05,0.0037739724,0.9990106225013733,0.014456018518518519,430,0.2,-0.003914134975660731,0.002762532518590214,1.539688229560852
1302,45,-20994.38082848889,8640.0,298,388800,-7.299798753526476,-0.3634703457355499,5e-05,0.0050129592,0.9990934729576111,0.027627314814814816,440,0.2,-0.004614907869793199,0.0026726944722166215,1.5486361980438232
1328,46,-20927.883195326092,8640.0,299,397440,-7.323674401177301,-0.37825942039489746,5e-05,0.004345336,0.9991740584373474,0.02179398148148148,450,0.2,-0.004134872083345221,0.002614585518905962,1.5620089769363403
1353,47,-20868.953856808515,8640.0,300,406080,-7.351113717820909,-0.3690990209579468,5e-05,0.003997376,0.9991716146469116,0.02428240740740741,460,0.2,-0.0039465132540229845,0.0023351472015147685,1.575222134590149
1378,48,-20810.012554770834,8640.0,300,414720,-7.369257864422268,-0.3734106421470642,5e-05,0.004978174,0.9992893934249878,0.031689814814814816,470,0.2,-0.005886365425497017,0.0025402967331292865,1.5827374458312988
1402,49,-20747.559836122447,8640.0,301,423360,-7.377829288200096,-0.3742750585079193,5e-05,0.004499867,0.9992402791976929,0.022974537037037036,480,0.2,-0.004914040114834077,0.0024559756991005053,1.588634967803955
1427,50,-20688.503117099997,8640.0,302,432000,-7.394106504299023,-0.3749827444553375,5e-05,0.004287038,0.9992273449897766,0.025659722222222223,490,0.2,-0.004058439081741704,0.002113746407062367,1.6030724048614502
